Dec 15 16:53:47 	1.59MiB / 1.952GiB	0.08%	0.32%
Dec 15 16:53:49 	1.609MiB / 1.952GiB	0.08%	0.26%
Dec 15 16:53:51 	1.629MiB / 1.952GiB	0.08%	0.23%
Dec 15 16:53:53 	1.738MiB / 1.952GiB	0.09%	0.44%
Dec 15 16:53:55 	1.641MiB / 1.952GiB	0.08%	0.50%
Dec 15 16:53:57 	1.641MiB / 1.952GiB	0.08%	0.44%
Dec 15 16:53:59 	1.711MiB / 1.952GiB	0.09%	0.49%
Dec 15 16:54:01 	34.08MiB / 1.952GiB	1.70%	111.52%
Dec 15 16:54:03 	62.73MiB / 1.952GiB	3.14%	121.01%
Dec 15 16:54:05 	71.52MiB / 1.952GiB	3.58%	2.36%
Dec 15 16:54:07 	73.54MiB / 1.952GiB	3.68%	81.04%
Dec 15 16:54:09 	86.39MiB / 1.952GiB	4.32%	73.79%
Dec 15 16:54:12 	87.29MiB / 1.952GiB	4.37%	57.58%
Dec 15 16:54:14 	97.6MiB / 1.952GiB	4.88%	101.42%
Dec 15 16:54:16 	97.94MiB / 1.952GiB	4.90%	57.31%
Dec 15 16:54:18 	105MiB / 1.952GiB	5.26%	137.23%
Dec 15 16:54:20 	105MiB / 1.952GiB	5.25%	56.64%
Dec 15 16:54:22 	105.9MiB / 1.952GiB	5.30%	69.12%
Dec 15 16:54:24 	105.9MiB / 1.952GiB	5.30%	68.41%
Dec 15 16:54:26 	107.1MiB / 1.952GiB	5.36%	80.48%
Dec 15 16:54:28 	106.3MiB / 1.952GiB	5.32%	79.56%
Dec 15 16:54:30 	107.4MiB / 1.952GiB	5.37%	1.77%
Dec 15 16:54:32 	120MiB / 1.952GiB	6.00%	134.33%
Dec 15 16:54:35 	119.4MiB / 1.952GiB	5.97%	84.90%
Dec 15 16:54:37 	111.2MiB / 1.952GiB	5.57%	69.40%
Dec 15 16:54:39 	114.6MiB / 1.952GiB	5.73%	66.51%
Dec 15 16:54:41 	112.5MiB / 1.952GiB	5.63%	55.66%
Dec 15 16:54:43 	111.8MiB / 1.952GiB	5.59%	63.65%
Dec 15 16:54:45 	113.1MiB / 1.952GiB	5.66%	76.32%
Dec 15 16:54:47 	113.1MiB / 1.952GiB	5.66%	81.27%
Dec 15 16:54:49 	116.6MiB / 1.952GiB	5.83%	79.24%
Dec 15 16:54:51 	117.1MiB / 1.952GiB	5.86%	46.07%
Dec 15 16:54:53 	116.6MiB / 1.952GiB	5.83%	13.01%
Dec 15 16:54:55 	116.3MiB / 1.952GiB	5.82%	55.68%
Dec 15 16:54:58 	118MiB / 1.952GiB	5.90%	66.90%
Dec 15 16:55:00 	118.2MiB / 1.952GiB	5.92%	70.37%
Dec 15 16:55:02 	117.4MiB / 1.952GiB	5.88%	63.28%
Dec 15 16:55:04 	116.7MiB / 1.952GiB	5.84%	78.24%
Dec 15 16:55:06 	116.7MiB / 1.952GiB	5.84%	66.38%
Dec 15 16:55:08 	116.5MiB / 1.952GiB	5.83%	78.85%
Dec 15 16:55:10 	116.4MiB / 1.952GiB	5.82%	69.50%
Dec 15 16:55:12 	117.1MiB / 1.952GiB	5.86%	1.27%
Dec 15 16:55:14 	125MiB / 1.952GiB	6.25%	78.43%
Dec 15 16:55:16 	119.2MiB / 1.952GiB	5.96%	84.03%
Dec 15 16:55:18 	119.1MiB / 1.952GiB	5.96%	75.77%
Dec 15 16:55:21 	118.6MiB / 1.952GiB	5.93%	66.23%
Dec 15 16:55:23 	118.6MiB / 1.952GiB	5.94%	77.43%
